external_id,establishment_external_id,title,description,category,original_price_cents,sale_price_cents,stock_total,stock_remaining,publish_day_offset,pickup_day_offset,pickup_start_time,pickup_end_time,dietary_tags,allergens,image_url,status,is_featured,estimated_weight_grams,impact_co2_grams
PACK-0001,EST-001,Pack de pan artesano,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,bakery,900,315,4,2,-1,1,19:00,21:00,,gluten|milk|egg,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=1000&q=80,available,true,500,900
PACK-0002,EST-001,Platos listos para disfrutar,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,prepared_food,1025,410,5,3,0,2,18:30,20:00,,gluten|soy,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=1000&q=80,available,false,625,1080
PACK-0003,EST-001,Caja verde de aprovechamiento,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,produce,1150,518,6,4,1,3,19:00,21:00,vegan|vegetarian|gluten_free,,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=1000&q=80,available,false,750,1260
PACK-0004,EST-001,Desayuno completo,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,breakfast,1275,638,7,0,2,4,18:30,20:00,,gluten|milk,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1000&q=80,sold_out,false,875,1440
PACK-0005,EST-001,Sabores veganos del día,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,vegan,1400,490,8,6,3,5,19:00,21:00,vegan|vegetarian,nuts|soy,https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=1000&q=80,cancelled,false,1000,1620
PACK-0006,EST-002,Lote ahorro del día,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,mixed,1525,610,9,7,4,6,19:00,21:00,,gluten|milk|nuts,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?auto=format&fit=crop&w=1000&q=80,available,false,1125,1800
PACK-0007,EST-002,Pack de pan artesano,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,bakery,1650,742,10,8,5,7,18:30,20:00,,gluten|milk|egg,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=1000&q=80,available,false,1250,1980
PACK-0008,EST-002,Platos listos para disfrutar,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,prepared_food,1775,888,4,2,6,8,19:00,21:00,,gluten|soy,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=1000&q=80,available,true,1375,2160
PACK-0009,EST-002,Caja verde de aprovechamiento,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,produce,1900,665,5,0,7,9,18:30,20:00,vegan|vegetarian|gluten_free,,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=1000&q=80,sold_out,false,500,2340
PACK-0010,EST-002,Desayuno completo,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,breakfast,900,360,6,4,8,10,19:00,21:00,,gluten|milk,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1000&q=80,cancelled,false,625,2520
PACK-0011,EST-003,Sabores veganos del día,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,vegan,1025,461,7,5,9,11,19:00,21:00,vegan|vegetarian,nuts|soy,https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=1000&q=80,available,false,750,900
PACK-0012,EST-003,Lote ahorro del día,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,mixed,1150,575,8,6,10,12,18:30,20:00,,gluten|milk|nuts,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?auto=format&fit=crop&w=1000&q=80,available,false,875,1080
PACK-0013,EST-003,Pack de pan artesano,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,bakery,1275,446,9,7,11,13,19:00,21:00,,gluten|milk|egg,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=1000&q=80,available,false,1000,1260
PACK-0014,EST-003,Platos listos para disfrutar,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,prepared_food,1400,560,10,0,12,14,18:30,20:00,,gluten|soy,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=1000&q=80,sold_out,false,1125,1440
PACK-0015,EST-003,Caja verde de aprovechamiento,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,produce,1525,686,4,2,-1,1,19:00,21:00,vegan|vegetarian|gluten_free,,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=1000&q=80,cancelled,false,1250,1620
PACK-0016,EST-004,Desayuno completo,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,breakfast,1650,825,5,3,0,2,19:00,21:00,,gluten|milk,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1000&q=80,available,false,1375,1800
PACK-0017,EST-004,Sabores veganos del día,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,vegan,1775,621,6,4,1,3,18:30,20:00,vegan|vegetarian,nuts|soy,https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=1000&q=80,available,false,500,1980
PACK-0018,EST-004,Lote ahorro del día,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,mixed,1900,760,7,5,2,4,19:00,21:00,,gluten|milk|nuts,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?auto=format&fit=crop&w=1000&q=80,available,false,625,2160
PACK-0019,EST-004,Pack de pan artesano,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,bakery,900,405,8,0,3,5,18:30,20:00,,gluten|milk|egg,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=1000&q=80,sold_out,false,750,2340
PACK-0020,EST-004,Platos listos para disfrutar,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,prepared_food,1025,513,9,7,4,6,19:00,21:00,,gluten|soy,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=1000&q=80,cancelled,false,875,2520
PACK-0021,EST-005,Caja verde de aprovechamiento,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,produce,1150,403,10,8,5,7,19:00,21:00,vegan|vegetarian|gluten_free,,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=1000&q=80,available,false,1000,900
PACK-0022,EST-005,Desayuno completo,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,breakfast,1275,510,4,2,6,8,18:30,20:00,,gluten|milk,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1000&q=80,available,true,1125,1080
PACK-0023,EST-005,Sabores veganos del día,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,vegan,1400,630,5,3,7,9,19:00,21:00,vegan|vegetarian,nuts|soy,https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=1000&q=80,available,false,1250,1260
PACK-0024,EST-005,Lote ahorro del día,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,mixed,1525,763,6,0,8,10,18:30,20:00,,gluten|milk|nuts,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?auto=format&fit=crop&w=1000&q=80,sold_out,false,1375,1440
PACK-0025,EST-005,Pack de pan artesano,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,bakery,1650,578,7,5,9,11,19:00,21:00,,gluten|milk|egg,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=1000&q=80,cancelled,false,500,1620
PACK-0026,EST-006,Platos listos para disfrutar,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,prepared_food,1775,710,8,6,10,12,19:00,21:00,,gluten|soy,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=1000&q=80,available,false,625,1800
PACK-0027,EST-006,Caja verde de aprovechamiento,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,produce,1900,855,9,7,11,13,18:30,20:00,vegan|vegetarian|gluten_free,,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=1000&q=80,available,false,750,1980
PACK-0028,EST-006,Desayuno completo,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,breakfast,900,450,10,8,12,14,19:00,21:00,,gluten|milk,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1000&q=80,available,false,875,2160
PACK-0029,EST-006,Sabores veganos del día,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,vegan,1025,359,4,0,-1,1,18:30,20:00,vegan|vegetarian,nuts|soy,https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=1000&q=80,sold_out,false,1000,2340
PACK-0030,EST-006,Lote ahorro del día,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,mixed,1150,460,5,3,0,2,19:00,21:00,,gluten|milk|nuts,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?auto=format&fit=crop&w=1000&q=80,cancelled,false,1125,2520
PACK-0031,EST-007,Pack de pan artesano,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,bakery,1275,574,6,4,1,3,19:00,21:00,,gluten|milk|egg,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=1000&q=80,available,false,1250,900
PACK-0032,EST-007,Platos listos para disfrutar,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,prepared_food,1400,700,7,5,2,4,18:30,20:00,,gluten|soy,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=1000&q=80,available,false,1375,1080
PACK-0033,EST-007,Caja verde de aprovechamiento,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,produce,1525,534,8,6,3,5,19:00,21:00,vegan|vegetarian|gluten_free,,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=1000&q=80,available,false,500,1260
PACK-0034,EST-007,Desayuno completo,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,breakfast,1650,660,9,0,4,6,18:30,20:00,,gluten|milk,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1000&q=80,sold_out,false,625,1440
PACK-0035,EST-007,Sabores veganos del día,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,vegan,1775,799,10,8,5,7,19:00,21:00,vegan|vegetarian,nuts|soy,https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=1000&q=80,cancelled,false,750,1620
PACK-0036,EST-008,Lote ahorro del día,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,mixed,1900,950,4,2,6,8,19:00,21:00,,gluten|milk|nuts,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?auto=format&fit=crop&w=1000&q=80,available,true,875,1800
PACK-0037,EST-008,Pack de pan artesano,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,bakery,900,315,5,3,7,9,18:30,20:00,,gluten|milk|egg,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=1000&q=80,available,false,1000,1980
PACK-0038,EST-008,Platos listos para disfrutar,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,prepared_food,1025,410,6,4,8,10,19:00,21:00,,gluten|soy,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=1000&q=80,available,false,1125,2160
PACK-0039,EST-008,Caja verde de aprovechamiento,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,produce,1150,518,7,0,9,11,18:30,20:00,vegan|vegetarian|gluten_free,,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=1000&q=80,sold_out,false,1250,2340
PACK-0040,EST-008,Desayuno completo,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,breakfast,1275,638,8,6,10,12,19:00,21:00,,gluten|milk,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1000&q=80,cancelled,false,1375,2520
PACK-0041,EST-009,Sabores veganos del día,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,vegan,1400,490,9,8,11,13,19:00,21:00,vegan|vegetarian,nuts|soy,https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=1000&q=80,available,false,500,900
PACK-0042,EST-009,Lote ahorro del día,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,mixed,1525,610,10,9,12,14,18:30,20:00,,gluten|milk|nuts,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?auto=format&fit=crop&w=1000&q=80,available,false,625,1080
PACK-0043,EST-009,Pack de pan artesano,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,bakery,1650,742,4,3,-1,1,19:00,21:00,,gluten|milk|egg,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=1000&q=80,available,true,750,1260
PACK-0044,EST-009,Platos listos para disfrutar,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,prepared_food,1775,888,5,0,0,2,18:30,20:00,,gluten|soy,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=1000&q=80,sold_out,false,875,1440
PACK-0045,EST-009,Caja verde de aprovechamiento,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,produce,1900,665,6,5,1,3,19:00,21:00,vegan|vegetarian|gluten_free,,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=1000&q=80,cancelled,false,1000,1620
PACK-0046,EST-010,Desayuno completo,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,breakfast,900,360,7,6,2,4,19:00,21:00,,gluten|milk,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1000&q=80,available,false,1125,1800
PACK-0047,EST-010,Sabores veganos del día,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,vegan,1025,461,8,7,3,5,18:30,20:00,vegan|vegetarian,nuts|soy,https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=1000&q=80,available,false,1250,1980
PACK-0048,EST-010,Lote ahorro del día,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,mixed,1150,575,9,8,4,6,19:00,21:00,,gluten|milk|nuts,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?auto=format&fit=crop&w=1000&q=80,available,false,1375,2160
PACK-0049,EST-010,Pack de pan artesano,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,bakery,1275,446,10,0,5,7,18:30,20:00,,gluten|milk|egg,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=1000&q=80,sold_out,false,500,2340
PACK-0050,EST-010,Platos listos para disfrutar,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,prepared_food,1400,560,4,3,6,8,19:00,21:00,,gluten|soy,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=1000&q=80,cancelled,false,625,2520
PACK-0051,EST-011,Caja verde de aprovechamiento,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,produce,1525,686,5,4,7,9,19:00,21:00,vegan|vegetarian|gluten_free,,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=1000&q=80,available,false,750,900
PACK-0052,EST-011,Desayuno completo,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,breakfast,1650,825,6,5,8,10,18:30,20:00,,gluten|milk,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1000&q=80,available,false,875,1080
PACK-0053,EST-011,Sabores veganos del día,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,vegan,1775,621,7,6,9,11,19:00,21:00,vegan|vegetarian,nuts|soy,https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=1000&q=80,available,false,1000,1260
PACK-0054,EST-011,Lote ahorro del día,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,mixed,1900,760,8,0,10,12,18:30,20:00,,gluten|milk|nuts,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?auto=format&fit=crop&w=1000&q=80,sold_out,false,1125,1440
PACK-0055,EST-011,Pack de pan artesano,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,bakery,900,405,9,8,11,13,19:00,21:00,,gluten|milk|egg,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=1000&q=80,cancelled,false,1250,1620
PACK-0056,EST-012,Platos listos para disfrutar,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,prepared_food,1025,513,10,9,12,14,19:00,21:00,,gluten|soy,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=1000&q=80,available,false,1375,1800
PACK-0057,EST-012,Caja verde de aprovechamiento,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,produce,1150,403,4,3,-1,1,18:30,20:00,vegan|vegetarian|gluten_free,,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=1000&q=80,available,true,500,1980
PACK-0058,EST-012,Desayuno completo,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,breakfast,1275,510,5,4,0,2,19:00,21:00,,gluten|milk,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1000&q=80,available,false,625,2160
PACK-0059,EST-012,Sabores veganos del día,Una selección sorpresa preparada con excedentes del día. El contenido puede variar según disponibilidad.,vegan,1400,630,6,0,1,3,18:30,20:00,vegan|vegetarian,nuts|soy,https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=1000&q=80,sold_out,false,750,2340
